qid,text,doc_id
1,What is the step by step guide to invest in share market in india?,doc_0
3,What is the story of Kohinoor (Koh-i-Noor) Diamond?,doc_1
5,How can I increase the speed of my internet connection while using a VPN?,doc_2
7,Why am I mentally very lonely? How can I solve it?,doc_3
9,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",doc_4
11,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,doc_5
13,Should I buy tiago?,doc_6
15,How can I be a good geologist?,doc_7
17,When do you use シ instead of し?,doc_8
19,Motorola (company): Can I hack my Charter Motorolla DCX3400?,doc_9
21,Method to find separation of slits using fresnel biprism?,doc_10
23,How do I read and find my YouTube comments?,doc_11
25,What can make Physics easy to learn?,doc_12
27,What was your first sexual experience like?,doc_13
29,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",doc_14
31,What would a Trump presidency mean for current international master’s students on an F1 visa?,doc_15
33,What does manipulation mean?,doc_16
35,Why do girls want to be friends with the guy they reject?,doc_17
37,Why are so many Quora users posting questions that are readily answered on Google?,doc_18
39,Which is the best digital marketing institution in banglore?,doc_19
41,Why do rockets look white?,doc_20
43,What's causing someone to be jealous?,doc_21
45,What are the questions should not ask on Quora?,doc_22
47,How much is 30 kV in HP?,doc_23
49,What does it mean that every time I look at the clock the numbers are the same?,doc_24
51,What are some tips on making it through the job interview process at Medicines?,doc_25
53,What is web application?,doc_26
55,Does society place too much importance on sports?,doc_27
57,What is best way to make money online?,doc_28
59,How should I prepare for CA final law?,doc_29
61,What's one thing you would like to do better?,doc_30
63,What are some special cares for someone with a nose that gets stuffy during the night?,doc_31
65,What Game of Thrones villain would be the most likely to give you mercy?,doc_32
67,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",doc_33
69,What is the best travel website in spain?,doc_34
71,Why do some people think Obama will try to take their guns away?,doc_35
73,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,doc_36
75,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",doc_37
77,How do we prepare for UPSC?,doc_38
79,What is the stall speed and AOA of an f-14 with wings fully swept back?,doc_39
81,Why do Slavs squat?,doc_40
83,When can I expect my Cognizant confirmation mail?,doc_41
85,"Can I make 50,000 a month by day trading?",doc_42
87,Is being a good kid and not being a rebel worth it in the long run?,doc_43
89,What universities does Rexnord recruit new grads from? What majors are they looking for?,doc_44
91,What is the quickest way to increase Instagram followers?,doc_45
93,How did Darth Vader fought Darth Maul in Star Wars Legends?,doc_46
95,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?",doc_47
97,What are some examples of products that can be make from crude oil?,doc_48
99,How do I make friends.,doc_49
101,Is Career Launcher good for RBI Grade B preparation?,doc_50
103,"Will a Blu Ray play on a regular DVD player? If so, how?",doc_51
105,Nd she is always sad?,doc_52
107,What is the best/most memorable thing you've ever eaten and why?,doc_53
109,How GST affects the CAs and tax officers?,doc_54
111,How difficult is it get into RSI?,doc_55
113,Who is israil friend?,doc_56
115,What are some good rap songs to dance to?,doc_57
117,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,doc_58
119,What are the best ways to learn French?,doc_59
121,How do I download content from a kickass torrent without registration?,doc_60
123,Is it normal to have a dark ring around the iris of my eye?,doc_61
125,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,doc_62
127,Why do I always get depressed?,doc_63
129,Where can I find a European family office database?,doc_64
131,What is Java programming? How To Learn Java Programming Language ?,doc_65
133,What is the best book ever made?,doc_66
135,Can we ever store energy produced in lightning?,doc_67
137,What is your review of Performance Testing?,doc_68
139,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,doc_69
141,What are the types of immunity?,doc_70
143,What is a narcissistic personality disorder?,doc_71
145,How I can speak English fluently?,doc_72
147,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,doc_73
149,Who is the richest gambler of all time and how can I reach his level?,doc_74
151,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,doc_75
153,How do I prevent breast cancer?,doc_76
155,How do I log out of my Gmail account on my friend's phone?,doc_77
157,How can I make money through the Internet?,doc_78
159,What is purpose of life?,doc_79
161,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,doc_80
163,What is the right etiquette for wishing a Jehovah Witness happy birthday?,doc_81
165,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?",doc_82
167,Why do Swiss despise Asians?,doc_83
169,What are some of the high salary income jobs in the field of biotechnology?,doc_84
171,How can I increase my height after 21 also?,doc_85
173,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?",doc_86
175,What is the difference between sincerity and fairness?,doc_87
177,Which is the best gaming laptop under 60k INR?,doc_88
179,What is your review of The Next Warrior: Proving Grounds - Part 9?,doc_89
181,What is the best reference book for physics class 11th?,doc_90
183,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?",doc_91
185,What are some of the best romantic movies in English?,doc_92
187,What causes a nightmare?,doc_93
189,What is abstract expressionism in painting?,doc_94
191,How does 3D printing work?,doc_95
193,What was it like to attend Caltech with Jeremy Ehrhardt?,doc_96
195,Why did harry become a horcrux?,doc_97
197,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,doc_98
199,Why is the number for Skype at 1-855-425-3768 always busy?,doc_99
201,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,doc_100
203,Did Ronald Reagan have a mannerism in his speech?,doc_101
205,What were the war strategies of the Union and the Confederates during the Civil War?,doc_102
207,Which is the best fiction novel of 2016?,doc_103
209,Can I recover my email if I forgot the password?,doc_104
211,Will the recent demonetisation results in higher GDP? If so how much?,doc_105
213,Have you ever heard of travel hacking?,doc_106
215,What's the difference between love and pity?,doc_107
217,How competitive is the hiring process at Republic Bank?,doc_108
219,How Google helps in spam ranking adjustment of the search results?,doc_109
221,Where can I watch gonulcelen with english subtitles?,doc_110
223,Is USA the most powerful country of the world?,doc_111
225,How do you obtain an instant ulcer pain relief?,doc_112
227,What do you think China food?,doc_113
229,What does taking advantage of someone mean?,doc_114
231,Why do we cry when we are happy and when we are sad?,doc_115
233,Why do some girls like to stick their their tongues out when taking pictures?,doc_116
235,"Did you find the ending of the novel ""1984"" depressing?",doc_117
237,What are some mind-blowing computer tools that exist that most people don't know about?,doc_118
239,Should the toothbrush be wet or dry before applying the toothpaste?,doc_119
241,Why my question was marked as needing imrovement?,doc_120
243,What is the difference between a neutral state and a buffer state?,doc_121
245,What mineral holds the highest electrical charge?,doc_122
247,What is the greatest mystery in the universe?,doc_123
249,What is the alternative to machine learning?,doc_124
251,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",doc_125
253,What is the mean of future budget?,doc_126
255,Can excessive amounts of Vitamin C cause me to have a miscarriage?,doc_127
257,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,doc_128
259,How do I access Torbox in India?,doc_129
261,What are some yakshini mantras?,doc_130
263,Was six party talks successful?,doc_131
265,How do I register my domain site email?,doc_132
267,Is it normal for older men to be attracted to young women?,doc_133
269,What is the strongest structure or strongest shape under compression?,doc_134
271,Who are the Rohingya Muslims?,doc_135
273,Does it matter whether humans are selfish or evil?,doc_136
275,Are exocytosis and endocytosis examples of active or passive transport?,doc_137
277,How i get hair on bald head?,doc_138
279,What is the ideal life after retirement?,doc_139
281,What is our stance against Pakistan?,doc_140
283,What are good websites for escorts?,doc_141
285,Which one is better polo diesel or grand i10 petrol?,doc_142
287,Does a black hole have mass?,doc_143
289,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",doc_144
291,Does Fab currently offer new employees stock options or RSUs?,doc_145
293,How would you review the site Waveclues?,doc_146
295,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,doc_147
297,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,doc_148
299,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,doc_149
301,How many years Britain ruled India?,doc_150
303,How can I stop being afraid of working?,doc_151
305,Why does Red keep the keys in OITNB?,doc_152
307,At what age should someone lose their virginity?,doc_153
309,How forgetful are you?,doc_154
311,Could Snoke secretly be Darth Maul?,doc_155
313,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",doc_156
315,Would you switch from Canon 6D to Leica D-LUX 109?,doc_157
317,What does the Quora website look like to members of Quora moderation?,doc_158
319,Why nobody answer my questions in Quora?,doc_159
321,What is the funniest joke you know?,doc_160
323,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?",doc_161
325,What are stereotypes about the United Kingdom?,doc_162
327,How do I use Twitter as a business source?,doc_163
329,How can I transfer money from Skrill to a PayPal account?,doc_164
331,Which is the best earphone with deep bass under 1000?,doc_165
333,Are government employees eligible to Sukanya Samrudi Yojana?,doc_166
335,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,doc_167
337,Which are the best engineering fields?,doc_168
339,How do you make life suit you and stop life from abusing you mentally and emotionally?,doc_169
341,What is the difference between gross salary and CTC?,doc_170
343,Which are the prospering towns in Kerala?,doc_171
345,What is the best way to gain confidence?,doc_172
347,Does anyone see the relation between Greek gods and Hindu gods?,doc_173
349,How do I switch from Apple Music to Spotify?,doc_174
351,Which is the best fixed income fund?,doc_175
353,What is it like to live in Cologne?,doc_176
355,"Between Robert De Niro and Al Pacino, who is more successful?",doc_177
357,Why does some people prefer small families.?,doc_178
359,Do animals kiss?,doc_179
361,How do you get deleted Instagram chats?,doc_180
363,How can I stop being addicted to love?,doc_181
